,MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,LotFrontage,MasVnrArea,GarageYrBlt,MasVnrType,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,Electrical,GarageType,GarageFinish,GarageQual,GarageCond,SalePrice
731,12,3,510,1,0,3,0,0,0,23,2,2,0,7,6,4,103,53,1,0,12,12,2,4,2,478,0,644,555,1,0,1,107,0,0,85,1,0,2,0,3,1,2,8,6,1,2,137,2,44,82,0,0,0,0,0,7,1,8,4,80,205,89,1,0,3,0,2,5,4,1,0,4,4,187500
732,9,3,717,1,0,3,0,4,0,5,2,2,0,5,6,4,98,49,1,0,12,12,2,4,2,150,0,683,101,1,0,1,112,316,0,550,0,0,2,1,3,1,2,10,6,1,2,221,2,69,171,0,0,0,0,0,9,2,8,4,82,81,84,1,2,3,0,0,5,4,1,0,4,4,222500
733,4,3,554,1,3,3,0,0,0,19,1,2,0,2,4,5,61,33,3,0,6,6,1,4,1,363,0,282,553,1,0,1,105,0,0,83,1,0,1,0,3,1,1,8,6,1,1,36,2,47,0,0,0,0,0,10,5,3,8,4,87,0,47,2,3,3,3,1,5,4,1,1,4,4,131400
734,4,3,424,1,0,3,0,0,0,19,2,2,0,2,4,4,68,18,1,0,9,9,1,4,2,0,0,705,602,1,4,1,637,0,0,744,0,0,1,0,3,1,1,8,6,0,1,56,2,35,0,0,0,0,0,0,7,1,8,3,77,0,54,2,3,3,3,5,5,4,1,2,4,4,108000
735,11,4,657,1,3,3,0,4,0,17,2,2,0,4,6,6,17,20,1,0,13,13,1,4,0,234,0,446,562,2,1,0,590,325,0,447,0,0,1,1,2,1,1,8,6,2,2,68,0,0,120,0,0,0,0,0,1,0,8,4,66,0,4,2,2,3,2,4,5,4,5,2,4,4,163000
736,14,3,366,1,3,3,0,4,0,12,2,2,2,2,2,3,50,0,1,0,11,10,1,4,1,0,0,0,0,1,2,0,26,0,0,16,0,0,2,0,2,2,1,8,6,0,2,107,2,0,0,0,0,0,0,0,9,0,8,4,66,0,35,2,3,3,3,5,5,1,5,2,4,4,93500
737,9,3,615,1,0,1,0,1,0,8,2,2,0,5,7,4,105,55,1,0,12,12,2,4,2,0,0,678,568,1,0,1,605,330,0,463,0,0,2,1,3,1,2,10,6,1,3,344,2,0,16,0,0,0,0,0,8,0,8,4,79,0,91,2,2,3,3,5,5,4,1,0,4,4,239900
738,14,3,657,1,3,3,0,4,0,7,2,2,2,2,4,4,87,38,1,0,9,9,1,4,1,53,0,0,125,1,4,1,143,0,0,112,3,0,3,0,3,1,1,7,6,0,0,0,2,15,0,0,0,0,0,0,5,3,8,2,66,0,66,2,2,1,1,2,5,4,1,2,4,4,179000
739,9,3,473,1,0,3,0,4,0,5,2,2,0,5,6,4,104,54,1,0,12,12,2,4,2,0,0,663,553,1,0,1,580,306,0,430,0,0,2,1,3,1,2,9,6,0,2,241,2,66,145,0,0,0,0,0,6,3,8,4,71,0,90,2,2,3,3,5,5,4,1,1,4,4,190000
740,10,4,512,1,3,3,0,4,0,17,2,2,0,5,4,6,13,52,1,0,13,14,1,2,0,0,0,279,371,1,0,1,517,197,0,248,0,0,2,0,2,1,1,9,6,0,2,85,2,121,0,5,0,0,0,0,7,1,8,0,66,0,3,2,1,0,3,5,5,4,5,2,4,2,132000
741,4,3,187,1,0,3,0,4,0,19,1,2,0,2,5,7,61,46,3,0,6,6,1,2,1,502,0,629,577,1,2,1,613,0,0,729,1,1,1,0,3,1,2,7,6,0,1,49,2,49,0,0,0,0,0,0,7,2,8,4,71,0,48,2,3,3,2,2,5,4,5,2,4,4,142000
742,4,3,348,1,3,3,0,4,0,20,2,2,0,2,6,4,100,51,1,0,12,12,1,4,2,0,0,113,206,1,0,1,230,0,0,199,0,0,2,0,3,1,1,8,6,0,2,219,2,15,144,0,0,0,0,0,3,1,8,4,71,9,86,1,2,3,3,5,5,4,1,2,4,4,179000
743,12,3,820,1,0,3,0,4,0,19,2,2,0,7,4,5,63,49,1,0,6,6,1,4,1,273,0,600,390,1,0,1,278,0,0,262,0,1,2,0,3,1,1,8,3,1,2,172,2,138,0,0,0,1,0,0,1,3,8,4,76,0,83,2,2,3,0,0,5,4,1,1,4,4,175000
744,0,3,137,1,0,1,0,4,0,22,2,2,4,2,7,4,93,43,1,0,6,6,2,4,2,448,0,508,200,1,2,1,224,0,0,189,1,0,2,0,2,1,2,7,6,1,2,157,2,241,0,105,5,0,0,0,1,2,8,4,47,0,79,2,2,3,3,2,5,4,1,1,4,4,180000
746,9,3,397,1,0,3,0,4,0,8,2,2,0,5,6,4,100,50,1,0,12,12,2,4,2,175,0,534,605,1,0,1,665,61,0,604,0,0,2,1,4,1,2,10,6,1,2,230,2,91,142,0,0,0,0,0,6,3,8,4,77,0,86,2,2,3,3,2,5,4,3,0,4,4,236000
747,10,4,740,1,0,3,0,0,0,17,2,2,0,5,6,6,2,53,4,0,11,11,2,4,4,0,0,85,147,2,4,0,217,66,0,647,0,0,1,1,4,1,2,10,6,1,4,363,0,61,0,90,0,0,0,0,7,3,8,4,71,0,36,2,3,0,3,5,5,4,5,2,4,4,265979
748,4,3,625,1,0,3,0,4,0,15,2,2,0,2,6,4,96,46,3,0,12,12,2,4,2,537,0,630,344,1,0,1,396,0,0,426,1,0,2,0,3,1,2,9,6,1,2,210,2,103,145,25,0,0,0,0,5,4,8,4,65,168,82,1,2,3,3,2,5,4,1,0,4,4,260400
749,8,3,343,1,3,3,0,4,0,7,2,2,0,0,3,2,45,0,1,0,14,14,1,4,3,0,0,0,0,5,4,0,62,108,0,308,0,0,2,0,4,1,1,11,4,0,1,25,0,239,0,40,0,0,0,0,6,3,8,4,56,0,31,2,3,3,3,5,5,1,5,2,4,4,98000
750,8,4,398,1,3,3,0,0,0,17,2,2,0,0,3,6,13,54,1,0,13,13,1,4,0,0,0,493,407,1,2,1,532,91,0,80,0,0,1,0,3,1,1,9,3,0,0,0,0,0,50,0,0,0,0,0,8,4,8,4,61,0,66,2,3,0,3,5,5,4,1,2,4,4,96500
751,9,3,272,1,3,3,0,4,0,8,6,2,0,5,6,4,103,53,1,0,12,12,2,4,2,0,0,537,435,1,0,1,469,195,0,182,0,0,2,1,3,1,2,8,6,0,2,107,2,0,135,0,0,0,0,0,10,1,8,4,77,0,89,2,2,3,3,5,5,4,1,0,4,4,162000
752,4,3,460,1,0,3,0,4,0,5,2,2,0,2,5,4,97,47,1,0,12,12,1,2,2,53,0,288,261,1,0,1,291,0,0,284,1,0,2,0,3,1,2,8,6,0,2,245,2,49,105,0,0,0,0,0,9,0,8,4,86,0,83,2,2,3,1,2,5,4,1,1,4,4,217000
753,9,3,589,1,3,3,0,4,0,16,2,2,0,5,7,4,105,55,1,0,12,12,2,4,2,0,0,13,21,1,2,1,24,14,0,570,0,0,2,1,3,1,3,10,6,1,3,369,2,69,139,0,0,0,0,0,5,0,8,4,87,68,91,1,2,3,2,5,5,4,1,1,4,4,275500
754,4,3,292,1,3,3,0,4,0,12,2,2,0,2,5,7,69,55,1,0,9,9,1,4,1,269,90,60,18,1,2,1,17,0,0,10,1,0,1,0,3,1,2,7,6,0,2,139,2,52,135,0,0,0,0,0,9,3,8,4,67,0,55,2,3,3,3,2,3,4,5,1,4,4,156000
755,1,1,69,1,3,3,0,4,0,21,2,2,4,5,5,4,99,49,1,0,8,8,1,4,2,227,0,341,472,1,2,1,503,234,0,267,0,0,2,1,3,1,1,8,6,0,2,139,2,0,91,0,0,0,0,0,5,3,8,4,40,266,85,1,2,3,3,2,5,4,5,2,4,4,172500
756,9,3,651,1,0,3,0,4,0,5,2,2,0,5,7,4,107,57,1,0,12,12,2,4,2,121,0,655,554,1,0,1,582,332,0,447,0,0,2,1,3,1,2,9,6,0,2,247,2,32,7,0,0,0,0,0,6,3,8,4,74,0,93,2,2,3,0,2,5,4,1,1,4,4,212000
757,9,3,734,1,0,3,0,1,0,19,2,2,0,5,5,4,78,28,3,0,6,6,1,4,1,268,0,255,439,1,4,1,473,227,0,223,0,0,2,1,3,1,1,8,6,1,2,139,2,157,0,0,0,0,0,0,6,4,8,0,77,163,64,0,3,3,2,4,5,4,1,0,4,4,158900
758,1,1,46,1,3,3,0,4,0,21,2,2,3,5,6,4,99,49,1,0,8,8,1,4,2,334,0,229,481,1,2,1,512,243,0,288,0,0,2,1,3,1,1,8,6,0,2,139,2,0,0,0,0,0,0,0,10,2,8,4,35,178,85,1,2,3,3,0,5,4,5,2,4,4,179400
759,9,3,786,1,0,3,0,4,0,15,2,2,0,5,7,4,95,45,1,0,12,12,2,4,2,342,117,72,194,1,0,1,220,50,0,638,0,0,2,1,4,1,2,11,6,1,3,329,2,90,181,0,0,0,0,0,2,1,8,4,71,224,81,1,2,3,0,3,0,4,1,1,4,4,290000
760,4,3,440,1,3,3,0,4,0,12,2,2,0,2,5,5,59,9,3,0,13,13,1,4,1,375,0,270,553,1,0,1,580,0,0,710,0,0,1,0,2,1,1,7,6,0,1,56,2,0,0,0,0,0,0,11,1,3,8,4,76,0,94,2,3,3,3,4,5,4,5,2,0,0,127500
761,5,4,196,1,3,3,0,2,0,3,1,2,0,2,4,4,27,0,1,0,13,13,1,4,2,245,0,587,95,1,4,1,206,0,0,171,0,0,1,0,2,1,0,7,2,0,2,139,2,0,0,0,0,0,0,0,1,3,8,4,66,0,51,2,3,3,2,3,5,4,5,2,4,4,100000
762,9,1,374,1,3,3,0,4,0,21,2,2,0,5,6,4,109,59,1,0,12,12,1,4,2,142,0,580,486,1,0,1,514,263,0,316,0,0,2,1,3,1,2,9,6,0,2,269,2,50,132,0,0,0,0,0,8,4,2,4,79,0,95,2,2,3,2,2,5,4,1,2,4,4,215200
764,0,3,503,1,0,3,0,1,0,24,2,2,4,2,7,4,95,46,3,0,3,3,2,2,2,267,4,0,269,1,0,1,291,0,0,284,1,0,1,1,2,1,3,8,6,1,2,173,2,0,113,0,0,40,0,0,6,0,8,4,36,0,81,2,2,1,0,3,2,4,1,0,4,4,270000
765,4,3,888,1,0,3,0,4,0,21,2,2,0,2,8,4,108,58,1,0,12,12,2,4,2,0,0,156,271,1,0,1,299,0,0,292,0,0,2,0,2,1,3,8,6,1,2,253,2,0,58,0,0,0,0,0,10,2,6,5,82,136,94,3,2,3,3,5,5,4,1,0,4,4,264132
766,9,3,610,1,3,3,0,4,0,14,2,2,0,5,6,4,88,38,1,0,6,6,1,4,1,236,0,497,628,1,4,1,665,237,0,422,0,0,2,1,3,1,1,9,6,1,2,184,2,93,155,26,0,0,0,13,5,4,8,4,87,195,74,1,2,3,3,2,5,4,1,2,4,4,196500
767,8,3,802,1,0,3,0,4,0,11,2,2,0,0,5,6,42,35,1,0,12,12,1,4,1,407,0,327,631,1,0,1,667,255,0,440,1,0,2,0,4,1,1,9,4,0,1,123,2,107,0,26,0,0,0,3,9,2,8,4,82,0,75,2,2,3,2,0,5,4,1,2,4,4,160000
768,4,3,440,1,3,3,0,4,0,5,2,2,0,2,6,4,104,55,3,0,12,12,2,4,2,142,0,218,359,1,0,1,415,0,0,474,0,0,2,0,3,1,2,10,6,1,2,176,2,15,118,0,0,0,0,0,1,0,8,4,76,0,90,2,2,3,3,2,5,4,1,0,4,4,216837
770,13,3,231,1,0,3,0,1,0,19,2,2,0,6,4,4,82,32,3,0,13,13,1,4,1,421,0,206,548,1,4,1,576,0,0,707,1,0,1,0,2,1,1,7,6,0,2,245,2,15,0,0,0,0,0,0,6,3,8,4,77,0,69,2,2,3,0,2,5,4,5,2,4,4,134900
771,4,3,407,1,3,3,0,4,0,7,2,2,0,2,3,4,51,1,1,0,13,13,1,4,1,504,0,0,535,1,4,1,156,0,0,123,0,0,1,0,2,1,1,8,6,0,2,104,2,0,0,0,0,0,0,0,6,0,0,4,73,0,37,2,1,0,3,3,5,1,5,2,4,4,102000
772,12,3,278,1,3,3,0,4,0,7,2,2,0,7,5,4,76,26,1,0,9,9,1,4,1,257,19,438,20,1,4,1,84,0,0,62,1,0,1,0,3,1,1,8,6,1,2,301,2,32,0,0,0,0,0,0,5,4,8,0,101,0,62,2,3,3,0,0,1,4,5,2,4,4,107000
773,4,3,573,1,3,3,0,4,0,12,1,2,0,2,4,4,58,8,1,0,13,13,1,4,1,278,0,421,577,1,0,1,613,0,0,729,0,0,1,0,2,1,1,7,6,0,1,40,2,0,0,0,0,0,0,0,9,1,0,4,76,1,44,2,3,3,3,4,5,0,1,1,4,4,114500
775,0,4,110,1,3,3,0,2,0,11,2,2,4,2,5,4,98,48,3,0,12,12,1,4,2,517,0,335,128,1,0,1,145,0,0,114,1,0,2,0,2,1,1,7,6,0,2,116,2,0,96,0,0,0,0,0,8,3,8,4,38,161,84,1,0,3,3,2,5,4,1,0,4,4,162000
776,4,3,694,1,0,3,0,4,0,5,2,2,0,2,6,4,105,56,1,0,12,12,2,4,2,121,0,177,316,1,0,1,348,0,0,359,0,0,2,0,3,1,2,9,6,0,3,364,2,32,148,0,0,0,0,0,9,0,6,5,93,108,91,1,2,3,0,2,5,4,1,1,4,4,221500
777,4,3,841,1,0,3,0,4,0,19,2,2,0,2,4,4,74,24,3,0,6,9,1,4,1,464,0,9,553,1,4,1,600,0,0,721,1,0,1,0,3,1,1,7,6,1,2,139,2,104,0,0,0,0,0,0,8,0,8,4,0,0,60,2,3,3,3,0,5,4,1,2,4,4,142500
778,14,2,341,1,3,3,0,4,0,20,1,2,2,2,4,4,77,27,1,0,9,9,1,4,3,0,0,0,0,1,4,1,423,0,0,546,0,0,2,0,4,2,1,0,6,2,2,282,2,0,0,0,0,0,0,0,1,1,8,4,66,161,63,1,3,3,3,5,5,4,5,2,4,4,144000
779,14,3,621,1,3,3,0,4,0,11,2,2,2,6,5,4,77,27,1,0,9,7,1,4,1,554,0,0,624,1,4,1,3,0,0,2,1,0,1,0,2,1,1,6,6,0,2,191,2,0,0,0,0,0,0,0,7,0,8,4,85,267,63,1,2,3,1,2,5,4,1,2,4,4,135000
780,4,3,285,1,3,3,0,4,0,8,2,2,0,2,6,4,95,46,1,0,6,6,1,4,2,0,0,83,146,1,2,1,178,0,0,146,0,0,2,0,3,1,1,8,6,1,2,108,2,89,78,0,0,0,0,0,8,1,8,4,69,184,81,1,2,1,3,5,5,4,1,0,4,4,176000
781,9,3,222,1,3,3,0,4,0,20,2,2,0,5,5,4,92,42,1,0,12,12,2,2,2,232,0,362,488,1,0,1,545,269,0,353,0,0,2,1,3,1,2,9,6,0,2,176,2,0,24,0,0,0,0,0,9,0,8,4,71,0,78,2,2,3,3,0,5,4,1,1,4,4,175900
782,4,3,918,1,1,3,0,4,0,5,2,2,0,2,6,4,101,52,1,0,12,12,2,4,2,0,0,134,234,1,0,1,265,0,0,246,0,0,2,0,3,1,2,8,6,0,2,262,2,0,118,0,0,0,0,0,8,3,8,4,73,0,87,2,2,3,3,5,5,4,1,1,4,4,187100
783,13,3,441,1,0,3,0,0,0,11,2,2,0,6,4,5,78,28,1,0,9,9,1,2,2,30,0,0,63,1,0,1,79,0,0,56,1,0,1,0,1,1,2,6,6,1,2,259,2,139,113,0,0,0,0,0,9,3,8,4,77,5,64,1,2,3,0,2,5,4,1,0,4,4,165500
784,11,4,172,1,3,3,0,4,0,17,2,2,0,4,5,5,17,51,1,0,13,14,1,4,1,0,0,589,480,1,0,1,503,241,0,278,0,0,2,0,3,1,1,11,6,1,0,0,2,0,112,15,0,0,0,0,8,2,8,4,41,0,66,2,3,3,3,5,5,4,1,2,4,4,128000
785,4,3,529,1,3,3,0,4,0,14,1,2,0,2,5,4,67,17,1,0,3,13,1,4,1,149,115,447,218,1,4,1,228,0,0,193,0,0,2,0,3,1,1,9,6,1,2,152,2,0,0,0,0,36,0,0,11,3,8,4,77,0,53,2,3,3,3,4,3,4,1,2,4,4,161500
786,8,4,657,1,3,3,0,4,0,17,0,2,0,0,4,5,18,0,1,0,8,8,1,2,2,422,0,0,445,1,4,1,654,209,0,382,1,0,2,0,4,1,1,9,6,0,1,119,2,0,0,46,0,0,0,2,8,4,8,4,66,0,47,2,1,3,3,3,5,4,5,2,4,4,139000
787,9,3,572,1,0,3,0,4,0,20,2,2,0,5,6,4,104,54,1,0,12,12,2,4,2,404,0,307,609,1,0,1,645,35,0,564,1,0,2,1,4,1,2,10,6,0,2,272,2,0,132,0,0,0,0,0,0,4,8,4,83,0,90,2,2,3,3,2,5,4,3,1,4,4,233000
788,4,4,159,1,3,3,0,0,0,17,2,2,0,2,3,6,54,50,1,0,8,8,1,4,1,0,0,683,572,1,0,1,605,0,0,724,0,0,1,0,2,1,1,6,6,0,1,43,2,0,0,0,0,0,0,0,10,2,8,4,56,0,40,2,3,3,3,5,5,4,5,2,1,4,107900
789,9,3,781,1,0,2,0,4,0,4,2,2,0,5,5,7,66,57,1,0,6,6,1,4,1,349,0,279,533,1,2,1,662,30,0,565,0,0,2,1,5,1,2,11,6,0,2,142,2,23,53,0,0,0,0,0,9,1,8,4,77,49,52,1,3,0,1,3,5,4,1,0,4,4,187500
790,0,3,67,1,3,3,0,4,0,0,2,2,4,2,6,4,105,56,1,0,12,12,2,4,2,99,0,53,95,1,0,1,106,0,0,84,0,0,2,0,2,1,2,7,6,1,2,105,2,1,49,0,0,0,0,0,11,3,8,4,49,11,91,1,2,3,3,2,5,4,1,0,4,4,160200
791,12,3,709,1,0,3,0,0,0,11,2,2,0,7,5,4,76,26,1,0,6,6,1,4,2,327,0,446,20,1,4,1,43,0,0,28,1,0,1,0,3,1,1,7,6,2,2,219,2,15,0,0,0,0,0,0,7,1,8,4,77,0,62,2,2,3,0,0,5,4,1,1,4,4,146800
792,9,3,545,1,0,3,0,1,0,15,2,2,0,5,6,4,96,47,1,0,8,8,2,4,2,514,0,273,78,1,0,1,92,323,0,544,1,0,2,1,3,1,1,10,6,1,2,150,2,60,28,0,0,0,0,0,8,1,8,4,99,0,83,2,2,3,0,2,5,4,1,2,4,4,269790
793,4,3,450,1,3,3,0,4,0,21,2,2,0,2,7,4,107,57,1,0,5,5,2,4,2,0,0,154,270,1,0,1,292,0,0,285,0,0,2,0,3,1,2,9,6,0,2,166,2,49,28,0,0,0,0,0,8,1,6,5,83,36,93,3,2,3,0,5,5,4,1,0,4,4,225000
794,9,3,658,1,0,3,0,0,0,8,2,2,0,5,6,4,94,46,1,0,8,8,2,4,2,0,0,567,460,1,0,1,61,279,0,498,0,0,2,1,3,1,2,9,6,1,2,114,2,31,133,0,0,0,0,13,1,2,8,4,77,0,80,2,2,3,3,5,5,4,1,0,4,4,194500
795,9,3,341,1,3,3,0,4,0,20,2,2,0,5,5,5,80,31,1,0,6,6,1,4,1,0,0,532,429,1,4,1,596,202,0,330,0,0,2,1,3,1,1,9,6,1,2,168,2,0,137,0,0,39,0,0,6,4,8,4,76,29,66,1,2,3,3,5,5,4,1,2,4,4,171000
796,4,3,320,1,3,3,0,4,0,19,2,2,0,2,5,4,77,27,1,0,9,9,1,4,1,0,0,537,435,1,0,1,197,0,0,163,0,0,1,1,3,1,1,9,6,1,2,211,2,26,0,0,0,0,0,0,6,1,8,4,78,43,63,1,3,3,3,5,5,4,1,1,4,4,143500
797,4,3,264,1,3,3,0,4,0,12,2,2,0,2,4,4,53,3,1,0,12,12,1,4,1,352,0,235,494,1,2,1,521,0,0,681,0,0,1,0,2,1,1,6,6,0,1,25,2,0,0,0,0,0,0,0,6,2,8,0,63,0,39,2,3,3,3,1,5,4,1,2,4,4,110000
799,8,3,226,1,3,3,0,0,0,18,1,2,0,0,4,6,39,0,1,0,13,13,1,4,0,350,0,182,473,1,0,1,666,266,0,447,1,0,1,1,3,1,2,9,6,2,1,25,2,0,0,75,0,0,0,0,8,1,8,4,66,116,27,1,2,3,3,0,5,4,5,2,4,4,175000
800,9,3,816,1,0,1,0,4,1,4,1,2,0,5,5,4,97,47,1,0,12,12,1,4,2,282,0,165,416,1,2,1,462,19,0,406,1,0,2,1,4,1,2,10,6,0,2,260,2,183,15,40,0,0,0,10,7,2,8,4,86,0,83,2,2,3,1,2,5,4,1,1,4,4,200000
801,5,4,117,1,3,3,0,4,0,9,2,2,0,2,3,6,19,40,1,0,8,8,1,4,1,119,0,730,122,1,0,1,141,0,0,109,1,0,1,0,2,1,1,7,6,0,2,139,2,0,0,0,0,0,0,0,9,1,8,4,46,0,43,2,3,3,3,3,5,0,5,2,4,4,109900
802,9,3,322,1,3,3,0,4,0,5,2,2,0,5,6,4,105,55,1,0,14,14,2,4,2,399,0,629,471,1,0,1,496,233,0,259,1,0,2,1,3,1,2,9,6,1,2,115,2,168,60,0,0,0,0,0,1,2,8,4,69,0,91,2,2,3,0,2,5,4,1,0,4,4,189000
804,4,3,427,1,3,3,0,4,0,12,2,2,0,2,4,4,54,4,1,0,13,13,1,4,1,491,0,84,593,1,4,1,93,0,0,71,0,0,1,0,2,1,1,7,2,0,1,47,2,0,0,0,0,0,0,0,8,0,8,3,82,0,40,2,3,3,3,3,5,4,1,2,4,4,118000
805,4,3,787,1,0,3,0,2,0,21,2,2,0,2,6,4,108,58,1,0,12,12,2,4,2,0,0,135,237,1,0,1,263,0,0,244,0,0,2,0,3,1,3,8,6,0,2,230,2,0,149,0,0,0,0,0,9,2,6,5,98,118,94,3,2,3,3,5,5,4,1,1,4,4,227680
806,12,3,523,1,3,3,0,4,0,12,2,2,0,7,4,4,67,17,1,0,12,12,1,4,2,241,92,1,628,1,2,1,665,0,0,760,0,0,2,0,3,1,1,8,6,0,1,97,2,223,0,0,0,0,0,0,1,0,8,4,82,0,53,2,3,3,0,0,4,4,1,0,4,4,135500
807,10,3,958,1,3,3,0,4,0,3,2,2,0,5,4,5,26,54,1,0,13,13,1,4,1,74,0,157,196,1,0,1,51,124,0,339,2,0,1,1,3,1,2,8,6,1,2,211,2,0,115,0,0,0,0,0,7,3,8,4,27,0,11,2,3,3,1,2,5,4,1,1,4,4,223500
808,12,3,843,1,3,3,0,4,0,12,2,2,0,7,4,4,66,16,1,0,12,12,1,4,1,313,20,367,17,1,4,1,61,0,0,41,1,0,1,0,3,1,1,8,6,1,2,176,2,0,0,0,0,0,0,0,8,0,8,4,92,6,52,1,3,3,0,0,1,4,1,1,4,4,159950
809,11,4,309,1,3,3,0,0,0,17,2,2,0,4,4,4,7,15,3,0,0,0,1,4,2,0,0,657,544,1,4,0,54,15,0,580,0,0,2,0,2,3,1,1,6,0,2,85,0,181,46,0,0,0,0,0,2,3,8,4,97,0,3,2,3,3,3,5,5,0,5,2,1,3,106000
810,4,3,570,1,3,3,0,4,0,14,2,2,0,2,5,5,74,49,3,0,6,6,1,4,1,410,74,0,24,1,1,1,211,0,0,176,1,0,1,1,3,1,2,7,6,1,2,176,2,119,0,0,0,0,4,0,0,0,8,4,85,275,60,1,3,3,3,0,3,4,1,1,4,4,181000
811,0,4,108,1,3,3,0,4,0,5,2,2,4,2,5,4,104,54,1,0,12,12,2,4,2,409,0,220,543,1,0,1,570,0,0,705,1,0,1,0,1,1,2,6,6,1,2,121,2,28,0,0,0,0,0,0,8,2,3,4,77,61,90,1,2,3,1,2,5,4,1,0,4,4,144500
812,4,0,378,0,3,0,0,4,1,9,2,2,0,2,4,4,52,2,3,0,13,13,0,4,1,0,0,471,397,1,4,0,29,0,0,18,0,0,1,0,2,1,0,6,6,0,2,191,0,0,0,0,0,0,0,14,8,4,8,2,72,0,38,2,3,3,0,5,5,0,2,2,4,4,55993
813,4,3,523,1,3,3,0,4,0,12,2,2,0,2,5,5,58,8,1,0,8,8,1,4,1,372,0,650,248,1,2,1,272,0,0,254,0,0,1,1,4,1,1,9,6,0,1,57,2,0,0,78,0,0,0,13,6,1,0,4,82,109,44,1,3,3,3,4,5,4,1,1,4,4,157900
814,8,3,328,1,3,3,0,4,0,7,2,2,0,0,4,6,21,0,1,0,11,11,1,4,0,0,0,550,445,2,2,1,480,152,0,143,0,1,1,1,3,1,0,9,6,0,1,42,1,80,0,114,0,0,0,0,9,0,8,4,51,0,41,2,3,3,3,5,5,4,5,2,4,4,116000
815,4,3,774,1,1,3,0,1,0,5,2,2,0,2,6,4,98,48,1,0,12,12,1,4,2,0,0,189,326,1,0,1,372,0,0,389,0,0,2,0,3,1,2,8,6,0,2,256,2,0,119,0,0,0,0,0,7,4,8,4,54,205,84,1,2,3,3,5,5,4,1,1,4,4,224900
816,4,3,721,1,0,3,0,0,0,12,2,2,0,2,4,5,54,4,1,0,3,3,1,4,1,293,0,462,8,1,2,1,7,0,0,5,0,0,1,0,2,1,1,6,6,1,1,40,2,0,0,9,0,0,0,0,9,0,8,4,77,0,40,2,3,3,3,1,5,4,1,1,4,4,137000
817,4,3,837,1,0,3,0,1,0,11,2,2,0,2,7,4,102,52,3,0,5,5,2,4,2,57,0,344,298,1,0,1,384,0,0,407,1,0,2,0,3,1,2,9,6,2,3,360,2,38,148,0,0,0,0,0,9,2,8,4,77,43,88,1,2,3,3,2,5,4,1,1,4,4,271000
818,12,3,400,1,3,3,0,4,0,4,2,2,0,7,5,6,71,21,1,0,6,6,1,4,1,304,0,454,9,1,2,1,34,0,0,22,1,0,1,0,3,1,1,8,6,0,2,139,2,0,0,0,0,0,0,0,8,4,8,4,87,258,57,1,3,3,0,2,5,4,1,2,4,4,155000
819,0,3,176,1,0,3,0,4,0,16,2,2,4,2,6,4,109,60,1,0,12,12,2,4,2,448,0,519,210,1,0,1,234,0,0,204,1,0,2,0,2,1,2,8,6,1,2,176,2,69,121,0,0,0,0,0,8,4,6,5,50,28,96,3,2,3,2,2,5,4,1,1,4,4,224000
820,9,3,228,1,0,3,0,1,0,5,2,2,0,5,6,4,103,53,1,0,12,12,2,4,2,0,0,627,510,1,0,1,536,294,0,376,0,0,2,1,3,1,2,8,6,0,2,254,2,0,132,0,0,0,0,0,8,2,8,4,79,0,89,2,2,3,3,5,5,4,1,1,4,4,183000
821,4,4,159,1,3,0,0,4,1,17,2,2,1,2,3,3,53,3,1,0,8,8,0,4,1,0,0,701,593,1,4,0,631,0,0,740,0,0,1,0,2,1,1,6,3,0,2,245,2,0,117,5,0,0,0,0,4,3,8,4,66,0,60,2,1,3,3,5,5,4,5,2,4,4,93000
822,9,3,794,1,0,3,0,0,0,8,2,2,0,5,6,4,103,53,1,0,12,12,2,4,2,0,0,656,542,1,0,1,569,323,0,432,0,0,2,1,3,1,2,9,6,1,2,132,2,1,135,0,0,0,0,0,1,1,8,3,77,0,89,2,2,3,1,5,5,4,3,0,4,4,225000
823,8,3,543,1,3,3,0,4,0,18,2,2,0,0,5,6,42,0,1,0,12,12,1,4,0,0,0,613,498,1,4,1,636,142,0,281,0,0,2,0,3,1,1,9,6,1,1,25,2,157,0,0,0,0,0,0,9,3,8,4,66,0,28,2,3,3,3,5,5,4,5,2,4,4,139500
824,4,1,696,1,3,3,0,4,0,21,2,2,0,2,7,4,106,56,1,0,12,12,2,4,2,0,0,151,267,1,0,1,289,0,0,281,0,0,2,0,3,1,2,9,6,1,2,336,2,0,36,0,0,0,0,0,8,0,6,5,88,0,92,2,2,1,3,5,5,4,1,1,4,4,232600
